"Measurement outcome","Frequency"
"0x1c0910","1"
"0x1c242","1"
"0x1c262","1"
"0x1c2bd8","1"
"0x1c338","1"
"0x1c42f2","1"
"0x1c4a62","1"
"0x1c4cb0","1"
"0x1c646a","1"
"0x1c6890","1"
"0x1c6998","1"
"0x1c6bf0","1"
"0x1c6de","1"
"0x1c8560","1"
"0x1c87e4","1"
"0x1c946","1"
"0x1cbca","1"
"0x1cc0fc","1"
"0x1cc656","1"
"0x1ced34","1"
"0x1cef12","1"
"0x1cefe6","1"
"0x1d0140","1"
"0x1d0340","1"
"0x1d057a","1"
"0x1d05de","1"
"0x1d0858","1"
"0x1d0d8e","1"
"0x1d2614","1"
"0x1d277a","1"
"0x1d27ce","1"
"0x1d2804","1"
"0x1d455a","1"
"0x1d4f56","1"
"0x1d4f7a","1"
"0x1d69c8","1"
"0x1d8162","1"
"0x1d822a","1"
"0x1d8552","1"
"0x1d8758","1"
"0x1d8862","1"
"0x1d8c32","1"
"0x1da5bc","1"
"0x1daa1e","1"
"0x1daf56","1"
"0x1dc196","1"
"0x1dc3aa","1"
"0x1dcafa","1"
"0x1dcb88","1"
"0x1dce52","1"
"0x1de382","1"
"0x1de90a","1"
"0x1e05ba","1"
"0x1e0646","1"
"0x1e2000","1"
"0x1e2124","1"
"0x1e2392","1"
"0x1e23ba","1"
"0x1e2438","1"
"0x1e24b6","1"
"0x1e29c","1"
"0x1e2b50","1"
"0x1e2b68","1"
"0x1e4390","1"
"0x1e4da4","1"
"0x1e4f2","1"
"0x1e6bcc","1"
"0x1e820c","1"
"0x1e827e","1"
"0x1e8770","1"
"0x1e8f5c","1"
"0x1ea872","1"
"0x1eac76","1"
"0x1eb77a","1"
"0x1ec812","1"
"0x1ecba4","1"
"0x1ecbe2","1"
"0x1ececa","1"
"0x1ee092","1"
"0x1ee232","1"
"0x1f0f34","1"
"0x1f2134","1"
"0x1f22ca","1"
"0x1f245a","1"
"0x1f26b0","1"
"0x1f2838","1"
"0x1f4740","1"
"0x1f60c6","1"
"0x1f6108","1"
"0x1f6caa","1"
"0x1f8ade","1"
"0x1f8d10","1"
"0x1f8ed8","1"
"0x1fa952","1"
"0x1faaa6","1"
"0x1faf10","1"
"0x1fce24","1"
"0x1fe658","1"
"0x1fe7e0","1"
"0x1feb0c","1"
"0x1feec6","1"
"0x20015e","1"
"0x2002bc","1"
"0x2002c8","1"
"0x200450","1"
"0x200610","1"
"0x200e5c","1"
"0x202226","1"
"0x20238","1"
"0x202502","1"
"0x20252c","1"
"0x202872","1"
"0x2028f4","1"
"0x202b78","1"
"0x202bb6","1"
"0x202bca","1"
"0x202f64","1"
"0x2043a0","1"
"0x204410","1"
"0x204a1a","1"
"0x204a28","1"
"0x204df8","1"
"0x20621a","1"
"0x20630c","1"
"0x2067ce","1"
"0x206880","1"
"0x2083a6","1"
"0x2084e0","1"
"0x208db4","1"
"0x20926","1"
"0x20a232","1"
"0x20a4c8","1"
"0x20a91c","1"
"0x20a922","1"
"0x20a938","1"
"0x20aacc","1"
"0x20ab0e","1"
"0x20aba4","1"
"0x20af66","1"
"0x20b8","1"
"0x20c13a","1"
"0x20c7c4","1"
"0x20c84c","1"
"0x20cb48","1"
"0x20cd9c","1"
"0x20e54","1"
"0x210922","1"
"0x210f30","1"
"0x212578","1"
"0x2125bc","1"
"0x21297c","1"
"0x21297e","1"
"0x212aee","1"
"0x214282","1"
"0x214314","1"
"0x214414","1"
"0x214788","1"
"0x215a","1"
"0x216524","1"
"0x21671a","1"
"0x2167fe","1"
"0x2169be","1"
"0x216b00","1"
"0x216f06","1"
"0x21865a","1"
"0x218722","1"
"0x218788","1"
"0x21884a","1"
"0x218b7a","1"
"0x21a0f2","1"
"0x21a6f8","1"
"0x21a750","1"
"0x21af7c","1"
"0x21c008","1"
"0x21c05a","1"
"0x21c474","1"
"0x21ca90","1"
"0x21cd6c","1"
"0x21ce62","1"
"0x21e1b2","1"
"0x21e40a","1"
"0x21ea2c","1"
"0x21ef5c","1"
"0x220002","1"
"0x220118","1"
"0x220682","1"
"0x2207ea","1"
"0x220890","1"
"0x220f16","1"
"0x222206","1"
"0x2225b8","1"
"0x222cb6","1"
"0x222f00","1"
"0x224558","1"
"0x224698","1"
"0x224bca","1"
"0x226c78","1"
"0x2275a","1"
"0x227b8","1"
"0x2280ee","1"
"0x228792","1"
"0x2287fa","1"
"0x228a16","1"
"0x228bee","1"
"0x228ee6","1"
"0x228f40","1"
"0x22a1ac","1"
"0x22a5ee","1"
"0x22a87c","1"
"0x22aad6","1"
"0x22af7a","1"
"0x22b16","1"
"0x22c146","1"
"0x22c330","1"
"0x22c558","1"
"0x22c77a","1"
"0x22c80a","1"
"0x22ca18","1"
"0x22ca64","1"
"0x22cdaa","1"
"0x22ce1c","1"
"0x22e648","1"
"0x22e86e","1"
"0x22eda2","1"
"0x230238","1"
"0x230462","1"
"0x2305fa","1"
"0x230ca4","1"
"0x2320d0","1"
"0x232cfe","1"
"0x232df8","1"
"0x232e6a","1"
"0x234130","1"
"0x234230","1"
"0x23434a","1"
"0x234b24","1"
"0x234fb8","1"
"0x2352a2","1"
"0x23679c","1"
"0x236aba","1"
"0x23810a","1"
"0x2382c0","1"
"0x23a1fa","1"
"0x23a370","1"
"0x23a764","1"
"0x23aeba","1"
"0x23cb10","1"
"0x23e446","1"
"0x23e700","1"
"0x23edaa","1"
"0x240552","1"
"0x2406ba","1"
"0x240e68","1"
"0x24234a","1"
"0x2424e","1"
"0x242642","1"
"0x24286","1"
"0x2440a","1"
"0x244d2","1"
"0x245da","1"
"0x24622e","1"
"0x24653c","1"
"0x2467c1","1"
"0x246850","1"
"0x246870","1"
"0x246888","1"
"0x2469c6","1"
"0x246d0","1"
"0x248220","1"
"0x24856c","1"
"0x2485bc","1"
"0x248620","1"
"0x248938","1"
"0x248d0a","1"
"0x248d70","1"
"0x248d80","1"
"0x24946","1"
"0x249a0","1"
"0x249be","1"
"0x24a1ea","1"
"0x24a2b8","1"
"0x24a30e","1"
"0x24a78","1"
"0x24ac","1"
"0x24ad02","1"
"0x24c1a0","1"
"0x24c72c","1"
"0x24c842","1"
"0x24cb68","1"
"0x24cc00","1"
"0x24cc54","1"
"0x24cf5a","1"
"0x24e158","1"
"0x24e560","1"
"0x24e65c","1"
"0x24e7c0","1"
"0x24eb06","1"
"0x24eb66","1"
"0x24ecae","1"
"0x24ee","1"
"0x25004c","1"
"0x25023e","1"
"0x25030e","1"
"0x250348","1"
"0x250392","1"
"0x25075a","1"
"0x250cb4","1"
"0x250d44","1"
"0x250d92","1"
"0x25201c","1"
"0x25225a","1"
"0x252466","1"
"0x252974","1"
"0x252f68","1"
"0x254284","1"
"0x254af0","1"
"0x254c7e","1"
"0x256130","1"
"0x256230","1"
"0x2566d0","1"
"0x256960","1"
"0x256ad2","1"
"0x256c0a","1"
"0x258200","1"
"0x2583d4","1"
"0x2583f8","1"
"0x25854c","1"
"0x2587f4","1"
"0x258efe","1"
"0x25a014","1"
"0x25a158","1"
"0x25a22c","1"
"0x25a6e0","1"
"0x25addc","1"
"0x25afbc","1"
"0x25c17a","1"
"0x25c8d8","1"
"0x25cce2","1"
"0x25e1d2","1"
"0x25e336","1"
"0x25e570","1"
"0x25e618","1"
"0x25e85a","1"
"0x25eec0","1"
"0x2605b0","1"
