"Measurement outcome","Frequency"
"0x1203c0","1"
"0x120505","1"
"0x1213d8","1"
"0x12145c","1"
"0x12149b","1"
"0x121778","1"
"0x1217b4","1"
"0x1217f6","1"
"0x121f2","1"
"0x122002","1"
"0x122046","1"
"0x1222c6","1"
"0x12236e","1"
"0x1223be","1"
"0x1223d0","1"
"0x1225c","1"
"0x1225fa","1"
"0x12261e","1"
"0x1227de","1"
"0x12298","1"
"0x122d0","1"
"0x122d2","1"
"0x1230e4","1"
"0x1231b0","1"
"0x123398","1"
"0x123596","1"
"0x1235b2","1"
"0x1235df","1"
"0x1236b2","1"
"0x124096","1"
"0x124113","1"
"0x124212","1"
"0x1243d8","1"
"0x124406","1"
"0x1244e2","1"
"0x1244fe","1"
"0x12454a","1"
"0x12488","1"
"0x124bc","1"
"0x125038","1"
"0x1250f6","1"
"0x1251a4","1"
"0x12520","1"
"0x1252b0","1"
"0x1252cc","1"
"0x1252f0","1"
"0x125396","1"
"0x125412","1"
"0x125592","1"
"0x1256a","1"
"0x125ba","1"
"0x125da","1"
"0x125f0","1"
"0x126030","1"
"0x12604","1"
"0x126136","1"
"0x126162","1"
"0x126392","1"
"0x1264c8","1"
"0x1264d8","1"
"0x126578","1"
"0x1265f6","1"
"0x126618","1"
"0x1267c8","1"
"0x12716","1"
"0x1271c","1"
"0x1274da","1"
"0x127592","1"
"0x127630","1"
"0x1276f8","1"
"0x127700","1"
"0x1277fa","1"
"0x128110","1"
"0x12813a","1"
"0x1281a4","1"
"0x1284cc","1"
"0x1284d6","1"
"0x128538","1"
"0x128736","1"
"0x128754","1"
"0x1287fe","1"
"0x129354","1"
"0x1293f0","1"
"0x1295de","1"
"0x1297ba","1"
"0x12a078","1"
"0x12a1d6","1"
"0x12a2fc","1"
"0x12a398","1"
"0x12a410","1"
"0x12a4f8","1"
"0x12a692","1"
"0x12b13e","1"
"0x12b27c","1"
"0x12b448","1"
"0x12b682","1"
"0x12b756","1"
"0x12c040","1"
"0x12c1f0","1"
"0x12c1fe","1"
"0x12c20a","1"
"0x12c370","1"
"0x12c43a","1"
"0x12c530","1"
"0x12c6fc","1"
"0x12d176","1"
"0x12d17e","1"
"0x12d29c","1"
"0x12d436","1"
"0x12d560","1"
"0x12d564","1"
"0x12d75e","1"
"0x12d7e0","1"
"0x12e092","1"
"0x12e09c","1"
"0x12e146","1"
"0x12e34a","1"
"0x12e40e","1"
"0x12e49e","1"
"0x12e4b0","1"
"0x12e596","1"
"0x12e5c2","1"
"0x12f164","1"
"0x12f1b6","1"
"0x12f514","1"
"0x12f542","1"
"0x12f712","1"
"0x13015e","1"
"0x13017c","1"
"0x13019a","1"
"0x1301d8","1"
"0x13029c","1"
"0x1303c8","1"
"0x1303fe","1"
"0x13051e","1"
"0x130558","1"
"0x13069e","1"
"0x1306fa","1"
"0x13070a","1"
"0x130750","1"
"0x131008","1"
"0x131014","1"
"0x131172","1"
"0x1311de","1"
"0x1312ec","1"
"0x131424","1"
"0x13148c","1"
"0x1314b8","1"
"0x1316f8","1"
"0x131718","1"
"0x1317ac","1"
"0x132018","1"
"0x132198","1"
"0x132200","1"
"0x1323fe","1"
"0x13255c","1"
"0x13257a","1"
"0x1325f0","1"
"0x132646","1"
"0x13340a","1"
"0x1334d0","1"
"0x13355e","1"
"0x13356","1"
"0x13375c","1"
"0x1337d0","1"
"0x1340fa","1"
"0x134282","1"
"0x1342e","1"
"0x13431c","1"
"0x134350","1"
"0x1343ba","1"
"0x13452e","1"
"0x134546","1"
"0x13461c","1"
"0x134ac","1"
"0x135010","1"
"0x135044","1"
"0x13509c","1"
"0x1353ea","1"
"0x135442","1"
"0x1355da","1"
"0x1355de","1"
"0x135796","1"
"0x1357d2","1"
"0x1357de","1"
"0x13610e","1"
"0x13614e","1"
"0x13631e","1"
"0x1364db","1"
"0x136558","1"
"0x136568","1"
"0x1366b8","1"
"0x1366d8","1"
"0x1366fe","1"
"0x13671e","1"
"0x136770","1"
"0x1367f4","1"
"0x137020","1"
"0x1372dc","1"
"0x1374ba","1"
"0x1374e","1"
"0x1375c0","1"
"0x137616","1"
"0x1376e0","1"
"0x1376fc","1"
"0x137754","1"
"0x137be","1"
"0x138004","1"
"0x1381c8","1"
"0x1381fa","1"
"0x138236","1"
"0x1382ce","1"
"0x1383b6","1"
"0x1383bc","1"
"0x138496","1"
"0x1384f2","1"
"0x13855a","1"
"0x1385c8","1"
"0x138712","1"
"0x1387fe","1"
"0x13909e","1"
"0x1390bc","1"
"0x13914a","1"
"0x1391f0","1"
"0x1392c2","1"
"0x139338","1"
"0x13959a","1"
"0x139744","1"
"0x1397d6","1"
"0x13a05e","1"
"0x13a070","1"
"0x13a0fc","1"
"0x13a138","1"
"0x13a1ae","1"
"0x13a21c","1"
"0x13a280","1"
"0x13a292","1"
"0x13a306","1"
"0x13a31e","1"
"0x13a350","1"
"0x13a3ae","1"
"0x13a6b0","1"
"0x13a6be","1"
"0x13a778","1"
"0x13b11e","1"
"0x13b276","1"
"0x13b650","1"
"0x13b7f6","1"
"0x13c016","1"
"0x13c026","1"
"0x13c1a0","1"
"0x13c458","1"
"0x13c47a","1"
"0x13c48a","1"
"0x13c598","1"
"0x13d012","1"
"0x13d056","1"
"0x13d290","1"
"0x13d410","1"
"0x13d558","1"
"0x13d654","1"
"0x13d75c","1"
"0x13d7f4","1"
"0x13e0f4","1"
"0x13e198","1"
"0x13e274","1"
"0x13e290","1"
"0x13e374","1"
"0x13e388","1"
"0x13e3d6","1"
"0x13e3d8","1"
"0x13e7f0","1"
"0x13f31a","1"
"0x13f3ba","1"
"0x13f534","1"
"0x13f7d6","1"
"0x14002e","1"
"0x140284","1"
"0x14035a","1"
"0x14044e","1"
"0x140518","1"
"0x140594","1"
"0x140750","1"
"0x140794","1"
"0x1410e8","1"
"0x1411b6","1"
"0x14123a","1"
"0x141272","1"
"0x141712","1"
"0x1417b0","1"
"0x1421fc","1"
"0x14223a","1"
"0x142294","1"
"0x14232b","1"
"0x1424a0","1"
"0x1425a6","1"
"0x142632","1"
"0x143054","1"
"0x143152","1"
"0x143214","1"
"0x143340","1"
"0x1433b6","1"
"0x1434d8","1"
"0x1435a","1"
"0x1435ba","1"
"0x1437c","1"
"0x1440d4","1"
"0x144598","1"
"0x144634","1"
"0x144640","1"
"0x144658","1"
"0x144694","1"
"0x144710","1"
"0x1447fc","1"
"0x145070","1"
"0x145196","1"
"0x1451a2","1"
"0x145230","1"
"0x1453a4","1"
"0x145546","1"
"0x14577e","1"
"0x14596","1"
"0x14605e","1"
"0x1461de","1"
"0x14627a","1"
"0x146510","1"
"0x146536","1"
"0x146550","1"
"0x146574","1"
"0x1466bc","1"
"0x1470","1"
"0x147188","1"
"0x1472b6","1"
"0x147310","1"
"0x147440","1"
"0x147504","1"
"0x1475b8","1"
"0x14777c","1"
"0x148098","1"
"0x1482b4","1"
"0x1482d2","1"
"0x1483f8","1"
"0x1484ba","1"
"0x148586","1"
"0x1485b6","1"
"0x1486ba","1"
"0x148736","1"
"0x14909e","1"
"0x14948e","1"
"0x14949a","1"
"0x1494cc","1"
"0x149532","1"
"0x14963a","1"
"0x14a11a","1"
"0x14a2ac","1"
"0x14a3b2","1"
"0x14a414","1"
"0x14a622","1"
"0x14a756","1"
"0x14a77c","1"
"0x14a7e0","1"
"0x14a7ec","1"
"0x14b090","1"
"0x14b116","1"
"0x14b45a","1"
"0x14c262","1"
"0x14c698","1"
"0x14c75c","1"
"0x14c7c2","1"
"0x14c7fe","1"
"0x14d0be","1"
"0x14d1ba","1"
"0x14d2b6","1"
"0x14d2ba","1"
"0x14d632","1"
"0x14e0fa","1"
"0x14e174","1"
"0x14e3b6","1"
"0x14e53a","1"
"0x14e658","1"
"0x14f132","1"
"0x14f13c","1"
"0x14f144","1"
"0x14f1f2","1"
"0x14f31c","1"
"0x14f512","1"
"0x14f518","1"
"0x14f682","1"
"0x14f6b8","1"
"0x150034","1"
"0x150186","1"
"0x15039e","1"
"0x150470","1"
"0x150558","1"
"0x15059a","1"
"0x15074e","1"
"0x150770","1"
"0x150778","1"
"0x1507e0","1"
"0x151056","1"
"0x15107a","1"
"0x1511de","1"
"0x151204","1"
"0x151390","1"
"0x1513fc","1"
"0x15148c","1"
"0x15149a","1"
"0x15151e","1"
"0x152020","1"
"0x1520dc","1"
"0x152112","1"
"0x152116","1"
"0x152294","1"
"0x1522d8","1"
"0x1522f2","1"
"0x1522fe","1"
"0x152546","1"
"0x1525b2","1"
"0x152624","1"
"0x152630","1"
"0x15278e","1"
"0x1527c6","1"
"0x153110","1"
"0x153118","1"
"0x15311c","1"
"0x153158","1"
"0x153178","1"
"0x1532ce","1"
"0x153356","1"
"0x15360c","1"
"0x153798","1"
"0x1537d6","1"
"0x153ae","1"
"0x153d6","1"
"0x154008","1"
"0x154078","1"
"0x15408","1"
"0x154286","1"
"0x154388","1"
"0x1543b0","1"
"0x1543fa","1"
"0x15443c","1"
"0x1544a2","1"
"0x154612","1"
"0x154614","1"
"0x15477c","1"
"0x15478","1"
"0x1547ba","1"
"0x1547d0","1"
"0x15510e","1"
"0x15515a","1"
"0x15517c","1"
"0x155310","1"
"0x1553c","1"
"0x155452","1"
"0x1555d4","1"
"0x155676","1"
"0x1556ba","1"
"0x1556ea","1"
"0x15571c","1"
"0x155780","1"
"0x15592","1"
"0x155b0","1"
"0x155f8","1"
"0x156070","1"
"0x156096","1"
"0x156098","1"
"0x15615a","1"
"0x1561d6","1"
"0x1561fa","1"
"0x1564de","1"
"0x1564f8","1"
"0x15655a","1"
"0x1570b2","1"
"0x15721e","1"
"0x1573ea","1"
"0x157428","1"
"0x1575d4","1"
"0x15764a","1"
"0x157692","1"
"0x157756","1"
"0x1578","1"
"0x15796","1"
"0x157fc","1"
"0x1581a6","1"
"0x158292","1"
"0x1582b6","1"
"0x1582b8","1"
"0x1582be","1"
"0x1582d4","1"
"0x158316","1"
"0x158374","1"
"0x15845e","1"
"0x158594","1"
"0x158642","1"
"0x15866c","1"
"0x15869a","1"
"0x15870e","1"
"0x158718","1"
"0x15879c","1"
"0x15907e","1"
"0x1591b6","1"
"0x159308","1"
"0x159316","1"
"0x15934a","1"
"0x1593dc","1"
"0x1593f2","1"
"0x15952c","1"
"0x15963c","1"
"0x1597c0","1"
"0x15a0b2","2"
"0x15a1f2","1"
"0x15a22e","1"
"0x15a3bc","1"
"0x15a3e4","1"
"0x15a4da","1"
"0x15a55c","1"
"0x15a602","1"
"0x15a6c0","1"
"0x15a71a","1"
"0x15a734","1"
"0x15a9bc","1"
"0x15b000","1"
"0x15b1a0","1"
"0x15b1f2","1"
"0x15b4d8","1"
"0x15b5d6","1"
"0x15b606","1"
"0x15b698","1"
"0x15b7c6","1"
"0x15b7d2","2"
"0x15b7f8","1"
"0x15c03e","1"
"0x15c150","1"
"0x15c15c","1"
"0x15c230","1"
"0x15c4dc","1"
"0x15c4f6","1"
"0x15c5d8","1"
"0x15c5de","1"
"0x15c640","1"
"0x15d466","1"
"0x15d498","1"
"0x15d4d0","1"
"0x15d7b2","1"
"0x15d7de","1"
"0x15e030","1"
"0x15e0f4","1"
"0x15e13c","1"
"0x15e1fc","1"
"0x15e484","1"
"0x15e612","1"
"0x15f130","1"
"0x15f2a0","1"
"0x15f3b8","1"
"0x15f519","1"
"0x15f51a","1"
"0x15f570","1"
"0x15f5c6","1"
"0x15fe","1"
"0x160032","1"
"0x1600b2","1"
"0x160170","1"
"0x160378","1"
"0x1603b5","1"
"0x16041","1"
"0x160774","1"
"0x1607d4","1"
"0x160f8","1"
"0x161032","1"
"0x1610c2","1"
"0x16110","1"
"0x161536","1"
"0x1615d6","1"
"0x16170c","1"
"0x161762","1"
"0x16178e","1"
"0x16202c","1"
"0x1620d8","1"
"0x16214","1"
"0x16230c","1"
"0x162316","1"
"0x162488","1"
"0x162618","1"
"0x1627b2","1"
"0x1630f0","1"
"0x16327e","1"
"0x163310","1"
"0x163382","1"
"0x16352","1"
"0x163558","1"
"0x1635e0","1"
"0x163774","1"
"0x1641fc","1"
"0x164586","1"
"0x16464","1"
"0x164654","1"
"0x1647b2","1"
"0x164ea","1"
"0x1652d8","1"
"0x165506","1"
"0x1655c6","1"
"0x16565a","1"
"0x165698","1"
"0x165d4","1"
"0x16605a","1"
"0x166114","1"
"0x166140","1"
"0x166256","1"
"0x1664ec","1"
"0x166530","1"
"0x166552","1"
"0x166638","1"
"0x166d8","1"
"0x167080","1"
"0x1672c2","1"
"0x1673d4","1"
"0x167622","1"
"0x16767e","1"
"0x16798","1"
"0x16803a","1"
"0x1680b2","1"
"0x168210","1"
"0x16833c","1"
"0x16867a","1"
"0x169198","1"
"0x16961c","1"
"0x169794","1"
"0x1697b4","1"
"0x16a070","1"
"0x16a0d4","1"
"0x16a2c0","1"
"0x16a494","1"
"0x16a49c","1"
"0x16a4be","1"
"0x16a5a8","1"
"0x16a750","1"
"0x16b09c","1"
"0x16b19c","1"
"0x16b1b2","1"
"0x16b1b4","1"
"0x16b2fc","1"
"0x16b51e","1"
"0x16b556","1"
"0x16c0a2","1"
"0x16c1b2","1"
"0x16c25a","1"
"0x16c290","1"
"0x16c31c","1"
"0x16c3c8","1"
"0x16c576","1"
"0x16c754","1"
"0x16d114","2"
"0x16d378","1"
"0x16d5da","1"
"0x16d5de","1"
"0x16e442","1"
"0x16e578","1"
"0x16e5de","1"
"0x16e790","1"
"0x16f046","1"
"0x16f174","1"
"0x16f2","1"
"0x16f218","1"
"0x16f25e","1"
"0x16f2d2","1"
"0x16f4f8","1"
"0x16f674","1"
"0x16f75a","1"
"0x16f7be","1"
"0x17001c","1"
"0x17004d","1"
"0x170226","1"
"0x1702ea","1"
"0x1702f4","1"
"0x1703dc","1"
"0x1704d0","1"
"0x1704e","1"
"0x17053c","1"
"0x17068a","1"
"0x1706fc","1"
"0x170776","1"
"0x170da","1"
"0x1712d0","1"
"0x171312","1"
"0x17140","1"
"0x17144e","1"
"0x1714ac","1"
"0x17157e","1"
"0x1715fc","1"
"0x1716b4","1"
"0x17201a","1"
"0x1720f6","1"
"0x172270","1"
"0x17239a","1"
"0x172686","1"
